id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1186592,2025-07-18,000001,Vente,400000,4,,BD MAL JOFFRE,2385,92500,92063,Rueil-Malmaison,92,,,92063000AR0792,,,53,,61,68.12,,,,,,,2,2,Appartement,68,3,,,,,,2.183614,48.879748
2025-1186592,2025-07-18,000001,Vente,400000,4,,BD MAL JOFFRE,2385,92500,92063,Rueil-Malmaison,92,,,92063000AR0792,,,53,,61,68.12,,,,,,,2,3,Dépendance,,0,,,,,,2.183614,48.879748
2025-1186592,2025-07-18,000001,Vente,400000,4,,BD MAL JOFFRE,2385,92500,92063,Rueil-Malmaison,92,,,92063000AR0792,,,74,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.183614,48.879748
2025-1186593,2025-07-18,000001,Vente,990000,64,,AV DE LA REPUBLIQUE,8130,92400,92026,Courbevoie,92,,,920260000L0043,,,,,,,,,,,,,0,1,Maison,102,5,S,sols,,,92,2.251829,48.90159
2025-1186594,2025-07-17,000001,Vente,32000,6,B,RUE JULES PARENT,2130,92500,92063,Rueil-Malmaison,92,,,92063000AH0494,,,404,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.18827,48.880561
2025-1186595,2025-07-16,000001,Vente,298270,1,,ALL MARYSE BASTIE,2513,92500,92063,Rueil-Malmaison,92,,,92063000BE0019,,,858,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.197202,48.865787
2025-1186595,2025-07-16,000001,Vente,298270,8,,ALL MARYSE BASTIE,2513,92500,92063,Rueil-Malmaison,92,,,92063000BE0019,,,734,77.54,747,,757,,,,,,3,3,Dépendance,,0,,,,,,2.197202,48.865787
2025-1186595,2025-07-16,000001,Vente,298270,8,,ALL MARYSE BASTIE,2513,92500,92063,Rueil-Malmaison,92,,,92063000BE0019,,,734,77.54,747,,757,,,,,,3,2,Appartement,72,4,,,,,,2.197202,48.865787
2025-1186596,2025-06-27,000001,Vente,159000,9,,RUE PAUL BERT,7165,92700,92025,Colombes,92,,,92025000BS0012,,,637,,651,42.29,,,,,,,2,2,Appartement,40,3,,,,,,2.246255,48.926389
2025-1186596,2025-06-27,000001,Vente,159000,9,,RUE PAUL BERT,7165,92700,92025,Colombes,92,,,92025000BS0012,,,637,,651,42.29,,,,,,,2,3,Dépendance,,0,,,,,,2.246255,48.926389
2025-1186597,2025-07-22,000001,Vente en l'état futur d'achèvement,282000,5,,RUE NOUVELLE,6678,92000,92050,Nanterre,92,,,92050000AG0236,,,329,,,,,,,,,,1,,,,,,,,,,2.227522,48.902962
2025-1186598,2025-07-17,000001,Vente,330000,3,,RUE DU CAPITAINE GUYNEMER,1440,92270,92009,Bois-Colombes,92,,,920090000U0071,,,56,41.51,,,,,,,,,1,2,Appartement,41,2,,,,,,2.263195,48.907462
2025-1186599,2025-07-21,000001,Vente,415900,35,,RUE CHARLES FLOQUET,0630,92500,92063,Rueil-Malmaison,92,,,92063000AZ0426,,,3,81.3,,,,,,,,,1,2,Appartement,78,4,,,,,,2.17652,48.870377
2025-1186599,2025-07-21,000001,Vente,415900,35,,RUE CHARLES FLOQUET,0630,92500,92063,Rueil-Malmaison,92,,,92063000AZ0426,,,23,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.17652,48.870377
