id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1186567,2025-07-22,000001,Vente,1200000,42,,RUE DU CHATEAU,1471,92600,92004,Asnières-sur-Seine,92,,,92004000AS0065,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,344,2.290362,48.908172
2025-1186567,2025-07-22,000001,Vente,1200000,42,,RUE DU CHATEAU,1471,92600,92004,Asnières-sur-Seine,92,,,92004000AS0065,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,344,2.290362,48.908172
2025-1186567,2025-07-22,000001,Vente,1200000,42,,RUE DU CHATEAU,1471,92600,92004,Asnières-sur-Seine,92,,,92004000AS0065,,,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,344,2.290362,48.908172
2025-1186568,2025-07-08,000001,Vente,747000,83,,AV HENRI BARBUSSE,4442,92700,92025,Colombes,92,,,92025000AG0001,,,8,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.25314,48.917972
2025-1186568,2025-07-08,000001,Vente,747000,83,,AV HENRI BARBUSSE,4442,92700,92025,Colombes,92,,,92025000AG0001,,,4,111.31,,,,,,,,,1,2,Appartement,110,4,,,,,,2.25314,48.917972
2025-1186569,2025-07-17,000001,Vente,236200,101,,RUE DE LA REPUBLIQUE,8140,92800,92062,Puteaux,92,,,920620000R0106,,,15,,3,33.66,,,,,,,2,2,Appartement,33,2,,,,,,2.241424,48.885084
2025-1186569,2025-07-17,000001,Vente,236200,101,,RUE DE LA REPUBLIQUE,8140,92800,92062,Puteaux,92,,,920620000R0106,,,15,,3,33.66,,,,,,,2,3,Dépendance,,0,,,,,,2.241424,48.885084
2025-1186570,2025-07-10,000001,Vente,270000,17,,RUE DES VENETS,9620,92000,92050,Nanterre,92,,,92050000AQ0056,,,24,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.203214,48.890506
2025-1186570,2025-07-10,000001,Vente,270000,17,,RUE DES VENETS,9620,92000,92050,Nanterre,92,,,92050000AQ0056,,,7,40.3,,,,,,,,,1,2,Appartement,39,2,,,,,,2.203214,48.890506
2025-1186571,2025-07-18,000001,Vente,327000,33,,RUE PARMENTIER,7115,92800,92062,Puteaux,92,,,92062000AB0004,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.236629,48.879305
2025-1186571,2025-07-18,000001,Vente,327000,33,,RUE PARMENTIER,7115,92800,92062,Puteaux,92,,,92062000AB0004,,,5,44.33,50,,,,,,,,2,2,Appartement,45,2,,,,,,2.236629,48.879305
2025-1186572,2025-07-18,000001,Vente,365000,290,,AV NAPOLEON BONAPARTE,2720,92500,92063,Rueil-Malmaison,92,,,92063000BP0009,,,654,,668,70.57,,,,,,,2,3,Dépendance,,0,,,,,,2.162962,48.87372
2025-1186572,2025-07-18,000001,Vente,365000,290,,AV NAPOLEON BONAPARTE,2720,92500,92063,Rueil-Malmaison,92,,,92063000BP0009,,,654,,668,70.57,,,,,,,2,2,Appartement,71,4,,,,,,2.162962,48.87372
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
